filename,viral_pattern,hook_strength,visual_quality,content_type,post_priority,suggested_hook_text,cloudinary_url,frame_url
HHTO0822.MP4,TEAM ON STILTS,9,7,"Worker on stilts doing ceiling work while another worker below, temporary work light, active plastering job",post now,Ceiling work hits different up here,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737501/emanuel-blueboard/HHTO0822.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737501/emanuel-blueboard/HHTO0822.jpg
FURO8262.MP4,WIDE ROOM REVEAL,8,7,"Large finished room with smooth white plastered walls and ceiling, natural light from window, wood floors, construction materials visible",post now,Smooth walls change everything here,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737487/emanuel-blueboard/FURO8262.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737487/emanuel-blueboard/FURO8262.jpg
GYMB2339.MP4,SATISFYING CLOSE-UP,8,7,"Worker in paint-covered clothes doing baseboard detail work, smooth finished white walls visible",post now,Watch this craftsman perfect details,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737499/emanuel-blueboard/GYMB2339.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737499/emanuel-blueboard/GYMB2339.jpg
MFIZ8878.MP4,WIDE ROOM REVEAL,8,7,"Room with finished drywall, natural light from windows, recessed lighting installed, winter view outside",post now,Natural light hits different here,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737568/emanuel-blueboard/MFIZ8878.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737568/emanuel-blueboard/MFIZ8878.jpg
RKNU8277.MP4,TEAM ON STILTS,8,7,"crew on stilts finishing drywall under staircase, active work",post now,Crew making angles look easy,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737634/emanuel-blueboard/RKNU8277.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737634/emanuel-blueboard/RKNU8277.jpg
BDBP1781.MP4,PROCESS DOCUMENTATION,7,7,"garage/shop with wooden ceiling grid furring strips, natural light from windows, prep for ceiling install",post now,Ceiling grid ready for blueboard,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737463/emanuel-blueboard/BDBP1781.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737463/emanuel-blueboard/BDBP1781.jpg
GZLP5049.MP4,WIDE ROOM REVEAL,7,7,"Large finished room with gray accent wall, large grid window, smooth plastered walls and ceiling, natural light",post now,Smooth walls change everything here,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737500/emanuel-blueboard/GZLP5049.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737500/emanuel-blueboard/GZLP5049.jpg
JFYT4024.MP4,TEAM ON STILTS,8,6,"worker on stilts doing ceiling work, second worker visible, large window with natural light",post now,Stilts make ceilings look easy,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737513/emanuel-blueboard/JFYT4024.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737513/emanuel-blueboard/JFYT4024.jpg
JMOD9625.MP4,WIDE ROOM REVEAL,7,7,"finished plastered room with vaulted ceiling, entry door, natural light, clean walls",post now,Fresh plaster transforms this space,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737515/emanuel-blueboard/JMOD9625.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737515/emanuel-blueboard/JMOD9625.jpg
KSYD1423.MP4,PROCESS DOCUMENTATION,7,7,"Exposed framing with electrical rough-in, yellow wiring, tankless water heater, utility area pre-drywall",post soon,Before the blueboard goes,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737524/emanuel-blueboard/KSYD1423.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737524/emanuel-blueboard/KSYD1423.jpg
NXHV1792.MP4,WIDE ROOM REVEAL,7,7,"Open floor plan with finished white walls and ceiling, structural columns, natural light from windows",post now,Smooth walls change everything,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737578/emanuel-blueboard/NXHV1792.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737578/emanuel-blueboard/NXHV1792.jpg
POLN8298.MP4,TRANSFORMATION REVEAL,7,7,Multi-panel bathroom renovation progress showing walls and tub surround,post now,Bathroom transformation in progress watch,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737611/emanuel-blueboard/POLN8298.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737611/emanuel-blueboard/POLN8298.jpg
UXLF8931.MP4,WIDE ROOM REVEAL,7,7,"Finished stairwell with smooth white plaster walls, clean angles, natural light from window, near-complete stage",post now,Smooth walls change everything here,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737678/emanuel-blueboard/UXLF8931.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737678/emanuel-blueboard/UXLF8931.jpg
VUCD8739.MP4,WIDE ROOM REVEAL,7,7,"Large open room with exposed wood framing, ceiling joists visible, natural window light, clean framing work, pre-blueboard stage",post now,Fresh framing ready for blueboard,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737702/emanuel-blueboard/VUCD8739.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737702/emanuel-blueboard/VUCD8739.jpg
WTLV9150.MP4,WIDE ROOM REVEAL,7,7,"Mid-renovation room with fresh drywall/plaster ceiling, recessed light holes, construction materials staged, natural light from door",post soon,Fresh ceiling ready for finish,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737712/emanuel-blueboard/WTLV9150.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737712/emanuel-blueboard/WTLV9150.jpg
BIYY4160.MP4,WIDE ROOM REVEAL,6,7,"Freshly plastered closet/alcove with smooth white walls and ceiling, electrical box visible",post soon,This closet was completely destroyed,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737465/emanuel-blueboard/BIYY4160.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737465/emanuel-blueboard/BIYY4160.jpg
CVJJ3455.MP4,TRANSFORMATION REVEAL,7,6,"Exterior shot of renovated multi-family home with new siding, black windows, green door, winter scene with snow",post now,Curb appeal hits different now,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737472/emanuel-blueboard/CVJJ3455.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737472/emanuel-blueboard/CVJJ3455.jpg
MAGH2184.MP4,PROCESS DOCUMENTATION,7,6,Spray foam insulation between wooden furring strips on walls and ceiling before blueboard,post soon,Before the blueboard goes up,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737543/emanuel-blueboard/MAGH2184.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737543/emanuel-blueboard/MAGH2184.jpg
SMTI4747.MP4,PROCESS DOCUMENTATION,7,6,"Active work site, drywall/plaster tools, buckets, extension cords, hallway with multiple rooms",post soon,Behind the scenes real work,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737648/emanuel-blueboard/SMTI4747.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737648/emanuel-blueboard/SMTI4747.jpg
TWUW6670.MP4,PROCESS DOCUMENTATION,7,6,"New construction home exterior, wood framing stage, two-story house with plywood sheathing, construction materials on ground",post soon,Before we touch the walls,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737660/emanuel-blueboard/TWUW6670.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737660/emanuel-blueboard/TWUW6670.jpg
AZKC6066.MP4,WIDE ROOM REVEAL,6,6,"large open space with drywall installed, beam detail, bicycle and supplies visible",post soon,Basement transformation in progress now,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737460/emanuel-blueboard/AZKC6066.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737460/emanuel-blueboard/AZKC6066.jpg
EPKW5172.MP4,WIDE ROOM REVEAL,7,5,"Large barn or industrial space with exposed timber framing, high ceilings, natural light through windows, wood paneling",post soon,Massive barn gets complete makeover,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737478/emanuel-blueboard/EPKW5172.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737478/emanuel-blueboard/EPKW5172.jpg
FHRM9117.MP4,PROCESS DOCUMENTATION,6,6,"Room with fresh white plaster, doorway opening, green drywall section, ladder with plastering tools",post soon,Watch this room come together,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737483/emanuel-blueboard/FHRM9117.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737483/emanuel-blueboard/FHRM9117.jpg
GCDV2251.MP4,HOOK MOMENT,7,5,"Exterior new construction home with blue house wrap, two-story, multiple windows, bright sunlight lens flare",post soon,New build blueboard coming soon,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737494/emanuel-blueboard/GCDV2251.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737494/emanuel-blueboard/GCDV2251.jpg
GIWS9200.MP4,WIDE ROOM REVEAL,6,6,"Attic room with sloped ceiling, skylight, drywall hung, access opening to crawl space visible",post soon,Attic transformation in progress now,https://res.cloudinary.com/dg1lg2bxk/video/upload/v1774737497/emanuel-blueboard/GIWS9200.mp4,https://res.cloudinary.com/dg1lg2bxk/video/upload/so_3/v1774737497/emanuel-blueboard/GIWS9200.jpg
